番号,latitude,longitude,施設名,種別,確保水量（立方メートル）,所在地,詳細画像,情報更新日,備考
75,35.6116002,139.641169,区立中町二丁目公園,小規模応急給水槽（100立方メートル槽）,100,東京都世田谷区中町2-34-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/74.jpg,平成27年7月9日,［住所］中町2-34-1
76,35.6728012,139.692596,都立代々木公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都渋谷区代々木神園町2-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/75.jpg,平成27年7月9日,［住所］代々木神園町2-1
77,35.650164,139.698585,都立第一商業高等学校,小規模応急給水槽（100立方メートル槽）,100,東京都渋谷区鉢山町8-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/76.jpg,平成27年7月9日,［住所］鉢山町8-1
78,35.6437963,139.713581,区立景丘公園,小規模応急給水槽（100立方メートル槽）,100,東京都渋谷区恵比寿4-19-21,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/77.jpg,平成27年7月9日,［住所］恵比寿4-19-21
79,35.7038488,139.760411,本郷給水所,浄水場・給水所,20000,東京都文京区本郷2-7-29,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/78.jpg,平成27年7月9日,［住所］本郷2-7-29
80,35.720204,139.736974,区立教育の森公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都文京区大塚3-29,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/79.jpg,平成27年7月9日,［住所］大塚3-29
81,35.7168921,139.773099,都立上野恩賜公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都台東区上野公園8-51,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/80.jpg,平成27年7月9日,［住所］上野公園8-51
82,35.730651,139.705442,区立西池袋公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都豊島区西池袋3-20-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/81.jpg,平成27年7月9日,［住所］西池袋3-20-1
83,35.7358562,139.728987,都立文京高等学校,小規模応急給水槽（100立方メートル槽）,100,東京都豊島区西巣鴨1-1-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/82.jpg,平成27年7月9日,［住所］西巣鴨1-1-5
84,35.7785454,139.707429,区立桐ケ丘中央公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都北区桐ケ丘1-8,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/83.jpg,平成27年7月9日,［住所］桐ケ丘1-8
85,35.745411,139.744488,区立滝野川公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都北区西ケ原2-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/84.jpg,平成27年7月9日,［住所］西ケ原2-1
86,35.7747429,139.728258,区立北運動公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都北区神谷2-47-6,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/85.jpg,平成27年7月9日,［住所］神谷2-47-6
87,35.7948321,139.641979,三園浄水場,浄水場・給水所,15600,東京都板橋区三園2-10-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/86.jpg,平成27年7月9日,［住所］三園2-10-1
88,35.755489,139.718612,板橋給水所,浄水場・給水所,26600,東京都板橋区加賀1-17-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/87.jpg,平成27年7月9日,［住所］加賀1-17-1
89,35.745615,139.690848,大谷口給水所,浄水場・給水所,11600,東京都板橋区大谷口一丁目4番,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/89-2.jpg,平成27年7月9日,［住所］大谷口1-4
90,35.7552748,139.676449,都立城北中央公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都板橋区桜川1-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/88.jpg,平成27年7月9日,［住所］桜川1-1
91,35.783725,139.681667,区立城北公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都板橋区坂下2-19-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/89.jpg,平成27年7月9日,［住所］坂下2-19-1
92,35.7439,139.689637,都立板橋高等学校,小規模応急給水槽（100立方メートル槽）,100,東京都板橋区大谷ロ1-54-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/90.jpg,平成27年7月9日,［住所］大谷ロ1-54-1
93,35.785228,139.6553,都立赤塚公園,小規模応急給水槽（100立方メートル槽）,100,東京都板橋区高島平3-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/91.jpg,平成27年7月9日,［住所］高島平3-1
94,35.776156,139.667838,区立西徳第二公園,小規模応急給水槽（100立方メートル槽）,100,東京都板橋区西台3-42-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/92.jpg,平成27年7月9日,［住所］西台3-42-1
95,35.7633861,139.631914,練馬給水所,浄水場・給水所,45000,東京都練馬区光が丘2-4-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/93.jpg,平成27年7月9日,［住所］光が丘2-4-1
96,35.7719057,139.58279,区立大泉公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都練馬区大泉学園町6-25,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/94.jpg,平成27年7月9日,［住所］大泉学園町6-25
97,35.729617,139.649375,区立学田公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都練馬区豊玉南3-32,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/95.jpg,平成27年7月9日,［住所］豊玉南3-32
98,35.7526187,139.656165,区立はやいち公園,小規模応急給水槽（100立方メートル槽）,100,東京都練馬区早宮1-47-11,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/96.jpg,平成27年7月9日,［住所］早宮1-47-11
99,35.7480591,139.598237,区立みんなの広場公園,小規模応急給水槽（100立方メートル槽）,100,東京都練馬区石神井町8-41,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/97.jpg,平成27年7月9日,［住所］石神井町8-41
100,35.6241461,139.349782,鑓水給水所,浄水場・給水所,1660,東京都八王子市鑓水401,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/100.jpg,平成27年7月9日,［住所］鑓水401
101,35.6879941,139.26847,西寺方給水所,浄水場・給水所,1660,東京都八王子市西寺方町1006-167,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/101.jpg,平成27年7月9日,［住所］西寺方町1006-167
102,35.6302942,139.278766,狭間給水所,浄水場・給水所,5000,東京都八王子市狭間町1994-478,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/102.jpg,平成27年7月9日,［住所］狭間町1994-478
103,35.6993634,139.302661,犬目第二給水所,浄水場・給水所,1760,東京都八王子市犬目町710,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/103.jpg,平成27年7月9日,［住所］犬目町710
104,35.7156311,139.31892,高月給水所,浄水場・給水所,5000,東京都八王子市高月町2240,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/104.jpg,平成27年7月9日,［住所］高月町2240
105,35.651316,139.315081,散田給水所,浄水場・給水所,6660,東京都八王子市散田町2-6-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/105.jpg,平成27年7月9日,［住所］散田町2-6-1
106,35.6405654,139.299999,東浅川給水所,浄水場・給水所,4330,東京都八王子市東浅川町674,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/106.jpg,平成27年7月9日,［住所］東浅川町674
107,35.616192,139.296856,寺田配水所,浄水場・給水所,330,東京都八王子市寺田町1359-4,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/107.jpg,平成27年7月9日,［住所］寺田町1359-4
108,35.646691,139.266414,元八王子配水所,浄水場・給水所,150,東京都八王子市元八王子町3-2750-487,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/108.jpg,平成27年7月9日,［住所］元八王子町3-2750-487
109,35.6538594,139.354989,北野給水所,浄水場・給水所,5280,東京都八王子市北野町595-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/109.jpg,平成27年7月9日,［住所］北野町595-3
110,35.6364467,139.374855,南陽台配水所,浄水場・給水所,330,東京都八王子市南陽台3-5-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/110.jpg,平成27年7月9日,［住所］南陽台3-5-1
111,35.6772291,139.307184,楢原給水所,浄水場・給水所,13330,東京都八王子市楢原町1294-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/111.jpg,平成27年7月9日,［住所］楢原町1294-3
112,35.6746641,139.336637,暁町配水所,浄水場・給水所,830,東京都八王子市暁町3-3-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/112.jpg,平成27年7月9日,［住所］暁町3-3-1
113,35.6864664,139.352866,久保山配水所,浄水場・給水所,730,東京都八王子市久保山町2-15-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/113.jpg,平成27年7月9日,［住所］久保山町2-15-1
114,35.616612,139.317224,大船給水所,浄水場・給水所,7330,東京都八王子市七国3-56-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/114.jpg,平成27年7月9日,［住所］七国3-56-1
115,35.606811,139.361154,鑓水小山給水所,浄水場・給水所,23330,東京都八王子市鑓水2-92,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/115.jpg,平成27年7月9日,［住所］鑓水2-92
116,35.603178,139.38008,南大沢給水所,浄水場・給水所,4950,東京都八王子市南大沢4-1942,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/116.jpg,平成27年7月9日,［住所］南大沢4-1942
117,35.649319,139.290022,都立陵南公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都八王子市長房町1572,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/117.jpg,平成27年7月9日,［住所］長房町1572
118,35.6968355,139.405944,柴崎浄水所,浄水場・給水所,1500,東京都立川市柴崎町1-1-41,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/118.jpg,平成27年7月9日,［住所］柴崎町1-1-41
119,35.7268843,139.395941,砂川中部浄水所,浄水場・給水所,0,東京都立川市砂川町3-11-7,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/119.jpg,平成27年7月9日,砂川中部浄水所及び西砂第一浄水所は、 平成14年8月14日から運用を停止しています。［住所］砂川町3-11-7
120,35.7180059,139.424525,立川栄町浄水所,浄水場・給水所,330,東京都立川市栄町5-38-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/120.jpg,平成27年7月9日,［住所］栄町5-38-5
121,35.7306138,139.360383,西砂第一浄水所,浄水場・給水所,0,東京都立川市西砂町2-53-14,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/121.jpg,平成27年7月9日,砂川中部浄水所及び西砂第一浄水所は、 平成14年8月14日から運用を停止しています。［住所］西砂町2-53-14
122,35.7299825,139.407448,立川砂川浄水所,浄水場・給水所,5100,東京都立川市砂川町6-41-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/122.jpg,平成27年7月9日,［住所］砂川町6-41-1
123,35.6868321,139.55076,上連雀浄水場（西配水場）,浄水場・給水所,5430,東京都三鷹市上連雀9-41-4,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/123.jpg,平成27年7月9日,［住所］上連雀9-41-4
124,35.6796028,139.577258,三鷹新川浄水場（東配水場）,浄水場・給水所,3330,東京都三鷹市新川2-1-15,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/124.jpg,平成27年7月9日,［住所］新川2-1-15
125,35.7843741,139.234717,日向和田浄水所,浄水場・給水所,880,東京都青梅市日向和田2-370,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/125.jpg,平成27年7月9日,［住所］日向和田2-370
126,35.7846878,139.277824,千ケ瀬第二浄水所,浄水場・給水所,200,東京都青梅市千ケ瀬町1-69-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/126.jpg,平成27年7月9日,［住所］千ケ瀬町1-69-1
127,35.7834729,139.151242,御岳山第一配水所,浄水場・給水所,70,東京都青梅市御岳山170-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/127.jpg,平成27年7月9日,［住所］御岳山170-3
128,35.8187204,139.241891,成木配水所,浄水場・給水所,30,東京都青梅市成木8-690-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/128.jpg,平成27年7月9日,［住所］成木8-690-3
129,35.7884612,139.308874,新町給水所,浄水場・給水所,2330,東京都青梅市新町5-24-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/129.jpg,平成27年7月9日,［住所］新町5-24-1
130,35.8152563,139.2066375,二俣尾配水所,浄水場・給水所,70,東京都青梅市二俣尾5-107-2,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/130.jpg,平成27年7月9日,［住所］二俣尾5-107-2
131,35.796712,139.272305,城山配水所,浄水場・給水所,1440,東京都青梅市東青梅6-95-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/131.jpg,平成27年7月9日,［住所］東青梅6-95-1
132,35.6889931,139.460042,府中武蔵台浄水所,浄水場・給水所,3730,東京都府中市武蔵台2-7,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/132.jpg,平成27年7月9日,［住所］武蔵台2-7
133,35.6760322,139.499748,若松浄水所,浄水場・給水所,1760,東京都府中市若松町4-10,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/133.jpg,平成27年7月9日,［住所］若松町4-10
134,35.679613,139.483705,幸町浄水所,浄水場・給水所,1140,東京都府中市幸町2-24,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/134.jpg,平成27年7月9日,［住所］幸町2-24
135,35.6585721,139.470907,府中南町浄水所,浄水場・給水所,1660,東京都府中市南町1-50,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/135.jpg,平成27年7月9日,［住所］南町1-50
136,35.688622,139.51876,都立武蔵野公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都府中市多磨町3-2,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/136.jpg,平成27年7月9日,［住所］多磨町3-2
137,35.661306,139.531746,上石原浄水場,浄水場・給水所,1120,東京都調布市上石原1-34-7,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/137.jpg,平成27年7月9日,［住所］上石原1-34-7
138,35.665028,139.585263,仙川浄水場,浄水場・給水所,320,東京都調布市仙川町3-6-27,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/138.jpg,平成27年7月9日,［住所］仙川町3-6-27
139,35.6693259,139.555504,深大寺浄水所,浄水場・給水所,9900,東京都調布市深大寺南町5-56-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/139.jpg,平成27年7月9日,［住所］深大寺南町5-56-1
140,35.6055194,139.449716,小野路給水所,浄水場・給水所,6330,東京都町田市小野路町2637-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/140.jpg,平成27年7月9日,［住所］小野路町2637-1
141,35.54707,139.450439,原町田浄水所,浄水場・給水所,520,東京都町田市原町田5-13-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/141.jpg,平成27年7月9日,［住所］原町田5-13-3
142,35.556835,139.434658,滝の沢浄水所,浄水場・給水所,1880,東京都町田市旭町2-7-7,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/142.jpg,平成27年7月9日,［住所］旭町2-7-7
143,35.5768701,139.448481,野津田浄水所,浄水場・給水所,1000,東京都町田市野津田町3398,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/143.jpg,平成27年7月9日,［住所］野津田町3398
144,35.5211759,139.482009,市立つくし野セントラルパーク,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都町田市つくし野3-19,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/144.jpg,平成27年7月9日,［住所］つくし野3-19
145,35.5909809,139.47186,市立鶴川中央公園,小規模応急給水槽（100立方メートル槽）,100,東京都町田市鶴川6-6,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/145.jpg,平成27年7月9日,［住所］鶴川6-6
146,35.5434914,139.472661,成瀬コミュニティセンター,小規模応急給水槽（100立方メートル槽）,100,東京都町田市成瀬2144,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/146.jpg,平成27年7月9日,［住所］成瀬2144
147,35.5728224,139.422442,市立忠生公園,小規模応急給水槽（100立方メートル槽）,100,東京都町田市忠生1-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/147.jpg,平成27年7月9日,［住所］忠生1-3
148,35.5743198,139.4884894,市立三輪中央公園,小規模応急給水槽（100立方メートル槽）,100,東京都町田市三輪緑山3-21,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/204.jpg,平成27年7月9日,［住所］三輪緑山3-21
149,35.7046375,139.526531,梶野浄水所,浄水場・給水所,1300,東京都小金井市梶野町5-10-33,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/148.jpg,平成27年7月9日,［住所］梶野町5-10-33
150,35.711611,139.491713,上水南浄水所,浄水場・給水所,11660,東京都小平市上水南町3-12-36,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/149.jpg,平成27年7月9日,［住所］小平市上水南町3-12-36
151,35.7256378,139.453172,小川浄水所,浄水場・給水所,6580,東京都小平市小川町1-847,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/150.jpg,平成27年7月9日,［住所］小川町1-847
152,35.722887,139.470526,津田二号水源,浄水場・給水所,1200,東京都小平市津田町3-39-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/151.jpg,平成27年7月9日,［住所］津田町3-39-3
153,35.6772404,139.389826,大坂上浄水所,浄水場・給水所,650,東京都日野市大坂上1-17-11,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/152.jpg,平成27年7月9日,［住所］大坂上1-17-11
154,35.6650353,139.382619,多摩平浄水所,浄水場・給水所,3660,東京都日野市多摩平2-7-2,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/153.jpg,平成27年7月9日,［住所］多摩平2-7-2
155,35.64064,139.395207,程久保給水所,浄水場・給水所,7000,東京都日野市程久保5-10-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/154.jpg,平成27年7月9日,［住所］程久保5-10-1
156,35.6579869,139.418189,三沢配水所,浄水場・給水所,1490,東京都日野市三沢905-2,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/155.jpg,平成27年7月9日,［住所］三沢905-2
157,35.662666,139.368353,日野旭が丘給水所,浄水場・給水所,1660,東京都日野市旭が丘2-42-2,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/156.jpg,平成27年7月9日,［住所］旭が丘2-42-2
