番号,latitude,longitude,施設名,種別,確保水量（立方メートル）,所在地,詳細画像,情報更新日,備考
169,35.751586,139.329512,福生武蔵野台浄水所,浄水場・給水所,2540,東京都福生市武蔵野台2-32,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/168.jpg,平成27年7月9日,［住所］武蔵野台2-32
170,35.723895,139.330834,市立明神下公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都福生市南田園1-12-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/169.jpg,平成27年7月9日,［住所］南田園1-12-1
171,35.6429908,139.571116,和泉本町浄水所,浄水場・給水所,2260,東京都狛江市和泉本町4-6-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/170.jpg,平成27年7月9日,［住所］和泉本町4-6-1
172,35.7466078,139.413939,上北台浄水所,浄水場・給水所,5330,東京都東大和市上北台1-801-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/171.jpg,平成27年7月9日,［住所］上北台1-801-1
173,35.7312269,139.428196,東大和給水所,浄水場・給水所,26660,東京都東大和市桜が丘3-44,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/172.jpg,平成27年7月9日,［住所］桜が丘3-44
174,35.777687,139.517376,清瀬元町浄水所,浄水場・給水所,1260,東京都清瀬市元町2-27-12,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/173.jpg,平成27年7月9日,［住所］元町2-27-12
175,35.7959132,139.540782,清瀬旭が丘浄水所,浄水場・給水所,0,東京都清瀬市旭が丘2-5-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/174.jpg,平成27年7月9日,清瀬旭が丘浄水所は、 平成17年6月24日から運用を停止しています。
176,35.7979192,139.5391642,市立第３保育園,小規模応急給水槽（100立方メートル槽）,100,東京都清瀬市旭が丘3-755-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/205.jpg,平成27年7月9日,［住所］旭が丘3-755-1
177,35.751937,139.525834,南沢浄水所,浄水場・給水所,3330,東京都東久留米市南沢3-9-21,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/175.jpg,平成27年7月9日,［住所］南沢3-9-21
178,35.7473841,139.507342,滝山浄水所,浄水場・給水所,1960,東京都東久留米市滝山6-1-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/176.jpg,平成27年7月9日,［住所］滝山6-1-1
179,35.7499647,139.390535,学園配水所,浄水場・給水所,1460,東京都武蔵村山市学園1-5-7,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/177.jpg,平成27年7月9日,［住所］学園1-5-7
180,35.7588747,139.393662,中藤配水所,浄水場・給水所,950,東京都武蔵村山市中藤2-1-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/178.jpg,平成27年7月9日,［住所］中藤2-1-3
181,35.7568554,139.363293,市立中原公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都武蔵村山市中原2-21-4,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/179.jpg,平成27年7月9日,［住所］中原2-21-4
182,35.6437424,139.444107,桜ケ丘浄水所,浄水場・給水所,1500,東京都多摩市桜ケ丘4-10,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/180.jpg,平成27年7月9日,［住所］桜ケ丘4-10
183,35.62455,139.413627,落合浄水所,浄水場・給水所,100,東京都多摩市中沢1-12,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/181.jpg,平成27年7月9日,［住所］中沢1-12
184,35.634838,139.439535,愛宕配水所,浄水場・給水所,1140,東京都多摩市愛宕2-51,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/182.jpg,平成27年7月9日,［住所］愛宕2-51
185,35.608639,139.431015,南野給水所,浄水場・給水所,3360,東京都多摩市南野2-16,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/183.jpg,平成27年7月9日,［住所］南野2-16
186,35.6295235,139.463722,聖ヶ丘給水所,浄水場・給水所,14000,東京都多摩市聖ヶ丘4-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/184.jpg,平成27年7月9日,［住所］聖ヶ丘4-1
187,35.645741,139.433745,市立並木公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都多摩市和田1551-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/185.jpg,平成27年7月9日,［住所］和田1551-1
188,35.615837,139.487899,坂浜浄水所,浄水場・給水所,1510,東京都稲城市坂浜816,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/186.jpg,平成27年7月9日,［住所］坂浜816
189,35.6437222,139.493028,向陽台給水所,浄水場・給水所,2000,東京都稲城市向陽台6-16,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/187.jpg,平成27年7月9日,［住所］向陽台6-16
190,35.6264602,139.472664,若葉台給水所,浄水場・給水所,1300,東京都稲城市若葉台1-19,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/188.jpg,平成27年7月9日,［住所］若葉台1-19
191,35.7321865,139.284454,秋留台給水所,浄水場・給水所,2000,東京都あきる野市秋川3-2-10,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/189.jpg,平成27年7月9日,［住所］秋川3-2-10
192,35.745663,139.287219,菅生給水所,浄水場・給水所,2000,東京都あきる野市菅生683,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/190.jpg,平成27年7月9日,［住所］菅生683
193,35.71888,139.279151,上代継浄水所,浄水場・給水所,200,東京都あきる野市上代継407,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/191.jpg,平成27年7月9日,［住所］上代継407
194,35.726467,139.20192,戸倉給水所,浄水場・給水所,1660,東京都あきる野市戸倉348-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/192.jpg,平成27年7月9日,［住所］戸倉348-1
195,35.719041,139.233864,小峰台配水所,浄水場・給水所,160,東京都あきる野市小峰台40,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/193.jpg,平成27年7月9日,［住所］小峰台40
196,35.7348684,139.252211,伊奈配水所,浄水場・給水所,130,東京都あきる野市伊奈372-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/194.jpg,平成27年7月9日,［住所］伊奈372-3
197,35.776763,139.363858,石畑給水所,浄水場・給水所,10000,東京都瑞穂町石畑2301,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/195.jpg,平成27年7月9日,［住所］石畑2301
198,35.74752,139.25519,文化の森給水所,浄水場・給水所,2000,東京都日の出町平井3075,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/196.jpg,平成27年7月9日,［住所］平井2621
199,35.7152429,139.566641,第一浄水場,浄水場・給水所,3780,東京都武蔵野市吉祥寺北町4-11-46,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/197.jpg,平成27年7月9日,［住所］吉祥寺北町4-11-46
200,35.709673,139.53636,第二浄水場,浄水場・給水所,2610,東京都武蔵野市桜堤1-6-6,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/198.jpg,平成27年7月9日,［住所］桜堤1-6-6
201,35.712165,139.347832,西部配水場,浄水場・給水所,2780,東京都昭島市緑町2-17-16,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/199.jpg,平成27年7月9日,［住所］緑町2-17-16
202,35.708692,139.369836,東部配水場,浄水場・給水所,2160,東京都昭島市朝日町4-23,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/200.jpg,平成27年7月9日,［住所］朝日町4-23
203,35.7647394,139.319607,第一配水場,浄水場・給水所,2060,東京都羽村市緑ケ丘2-18-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/201.jpg,平成27年7月9日,［住所］緑ケ丘2-18-5
204,35.7761234,139.295803,小作浄水場,浄水場・給水所,14260,東京都羽村市小作台4-2-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/202.jpg,平成27年7月9日,［住所］小作台4-2-1
205,35.733876,139.815874,白髭東地区防災拠点,,2700,東京都墨田区堤通2,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/203.jpg,平成27年7月9日,［住所］堤通2
